Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
Manager: Analyst & Market Intelligence,Information Security Media Group,1-3 Yrs,Not disclosed,Remote,deep learningVersion controlGITGCPTime managementAnalyticalCloudAgile,https://www.naukri.com/job-listings-data-analyst-teplar-solutions-coimbatore-0-to-4-years-310320500022,30+ Days Ago
Business Analyst,Fusion Plus Solutions Inc,5-10 Yrs,Not disclosed,Remote,advanced analyticsData managementdata scienceGCPData modelingMachine learningData analyticsdata visualization,https://www.naukri.com/job-listings-marketing-data-analyst-kpi-partners-inc-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-261023501527,Few Hours Ago
Administration-Analyst,Fusion Plus Solutions Inc,5-8 Yrs,Not disclosed,Jaipur,TrainingBasicData analysisQuality standardsUsageExceldata scienceTime management,https://www.naukri.com/job-listings-data-analysts-html-editor-i-tech-infonet-pvt-ltd-rajkot-0-to-2-years-260922500760,3 Days Ago
Business Analyst II,Fusion Plus Solutions Inc,7-12 Yrs,3-4.75 Lacs PA,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data ScienceTeam ManagementProject ManagementArtificial IntelligenceCommercial StrategyData AnalyticsIntelligenceProject,https://www.naukri.com/job-listings-data-analyst-primohunt-corporate-pune-0-to-3-years-110722502690,22 Days Ago
"Analyst, M&E, Routine Immunization",Adidas,8-10 Yrs,Not disclosed,"Panaji/ Panjim, Goa",advanced analyticsData managementdata scienceGCPMachine learningCloudData analyticsdata visualization,https://www.naukri.com/job-listings-data-analyst-ipro-india-private-limited-chandigarh-0-to-4-years-100223501804,25 Days Ago
BI Analyst,Adidas,9-11 Yrs,Not disclosed,Bangalore/Bengaluru,advanced analyticscustomer analyticsData managementdata scienceGCPMachine learningData analyticsdata visualization,https://www.naukri.com/job-listings-data-analyst-recruitrix-technologies-llp-hyderabad-secunderabad-0-to-2-years-091122500313,30+ Days Ago
Business Analyst,Adidas,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Artificial IntelligenceAzure Machine LearningMachine LearningAzure Cognitive ServicesData ScienceGenAIPattern RecognitionOpencv,https://www.naukri.com/job-listings-it-data-analyst-sql-azure-syneos-health-hyderabad-secunderabad-telangana-gurgaon-gurugram-haryana-bangalore-bengaluru-karnataka-2-to-5-years-271023013128,30+ Days Ago
Business Analyst,Unitedlex,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,SANDocument reviewdata scienceCodingMachine learningCustomer retentionProject planningProduct support,https://www.naukri.com/job-listings-business-analyst-red-hat-new-delhi-1-to-4-years-241023500001,30+ Days Ago
Business Analyst,CANPACK,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Data AnalyticsAgile change delivery methodologyDevOpsAzureCOBITGCPISO 27001NIST,https://www.naukri.com/job-listings-data-analyst-reference-data-moody-s-corporation-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-051023007509,30+ Days Ago
Business Analyst,Zapbuild Technologies Pvt. Ltd,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisAzureData StrategyGCPSQLPower BIdata scienceData modeling,https://www.naukri.com/job-listings-data-analyst-i-leading-it-co-i-bangalore-hindco-recruitment-consultants-bellary-ballari-karnataka-bangalore-bengaluru-belagavi-belgaum-karnataka-3-to-8-years-021023001703,30+ Days Ago
