Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
Infogain Hiring | Data Migration Developer | Location - Bangalore,Alois Technologies,2-7 Yrs,Not disclosed,Gurgaon/Gurugram,Performance tuningMavenEnterprise applicationsConsultingJavascriptAgileBusiness intelligenceMonitoring,https://www.naukri.com/job-listings-data-engineer-alois-technologies-gurgaon-gurugram-haryana-7-to-12-years-121023009321,15 Days Ago
Full Stack Developer,Prescience Decision Solutions,3-8 Yrs,40-70 Lacs PA,Hybrid - Mumbai (All Areas),gcpData IngestionPubsubBigquerypysparkSQL QueriesDataprocGcp Cloud,https://www.naukri.com/job-listings-data-architect-prescience-decision-solutions-gurgaon-gurugram-7-to-12-years-300923503517,27 Days Ago
"Azure Terraform, Data Engineer, SQL Development",Mondelez,6-8 Yrs,Not disclosed,"Chandigarh, Gurgaon/Gurugram",Azure Data FactoryPower BiMySQLSSISETLFactoryDataData warehousing,https://www.naukri.com/job-listings-platform-data-lead-mondelez-mumbai-all-areas-8-to-13-years-201023009893,7 Days Ago
Data Entry Operator,Maven Wave Partners,3-8 Yrs,Not disclosed,Remote,Postgresql.NET CoreDataHiringMigrationData migration.NetCore,https://www.naukri.com/job-listings-data-lead-data-architect-maven-wave-partners-india-pvt-ltd-chandigarh-gurgaon-gurugram-5-to-10-years-180823500524,30+ Days Ago
Data Modeler || Compunnel DIgital,Hitachi Ltd.,5-10 Yrs,Not disclosed,Gurgaon/Gurugram,Computer scienceFront endDjangoAnalyticalJavascriptContent writingProject deliveryDigital marketing,https://www.naukri.com/job-listings-data-modeler-data-engineering-hitachi-ltd-remote-4-to-7-years-171023501304,10 Days Ago
Data Management Executive; Location - Kinshasa DR Congo,Max Life Insurance,2-4 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram",database designsql developmentAzureTerraformData engineerSQLDBMSDevelopment,https://www.naukri.com/job-listings-senior-data-engineering-lead-max-life-insurance-company-limited-gurgaon-gurugram-5-to-12-years-140923502339,30+ Days Ago
Data Engineer,GSPANN,4-8 Yrs,Not disclosed,Hybrid - Hyderabad/Secunderabad(Kondapur),Data EntryData analysisAdvance MS ExcelMS WordbillingData Entry OperatorDataData entry operation,https://www.naukri.com/job-listings-big-data-project-manager-gspann-technologies-inc-hyderabad-secunderabad-pune-gurgaon-gurugram-5-to-13-years-090623500210,30+ Days Ago
Data Entry Operator,Globaldata,5-10 Yrs,Not disclosed,Gurgaon/Gurugram,Power BiRdbms ConceptsData AnalysisData ModelingSQLData MappingModelerAnalysis,https://www.naukri.com/job-listings-opening-for-data-engineer-patent-info-globaldata-hyd-globaldata-hyderabad-secunderabad-3-to-6-years-290923009553,10 Days Ago
Data Engineer,Candi Solar,3-6 Yrs,Not disclosed,"Chandigarh, Gurgaon/Gurugram",Data Management ExecutiveData AnalystGoogle App ScriptGoogle formDMEGoogle Data StudioGoogle SheetsMS Excel,https://www.naukri.com/job-listings-asset-data-acquisition-engineer-candi-solar-gurgaon-gurugram-3-to-5-years-271022502121,30+ Days Ago
Senior Data Engineer,Maven Wave Partners,1-5 Yrs,Not disclosed,Hyderabad/Secunderabad,SANHead Business DevelopmentSOCIT skillsCRMI18nDevelopmentData Engineering,https://www.naukri.com/job-listings-sr-specialist-data-lead-sap-maven-wave-partners-india-pvt-ltd-chandigarh-gurgaon-gurugram-5-to-10-years-260723500884,30+ Days Ago
Senior Data Engineer,Providence College Of Engineering,3-6 Yrs,Not disclosed,"Kochi/ Cochin, Kerala, Bangalore/ Bengaluru, Karnataka",MS Office SuiteData ManagementDatabase ManagementData AnalysisData EntryTypingDataData entry operation,https://www.naukri.com/job-listings-senior-consultant-data-engineering-providence-college-of-engineering-hyderabad-secunderabad-3-to-10-years-231023501888,4 Days Ago
"Data Engineer(SQL, PSQL, ETL, Celonis)",Nest Digital,2-5 Yrs,Not disclosed,Mumbai,Data analysisData modelingHealthcareICTbig dataInformation technologyAutomotiveMonitoring,https://www.naukri.com/job-listings-senior-data-engineer-nest-digital-kochi-cochin-kerala-bangalore-bengaluru-karnataka-8-to-12-years-221023002009,5 Days Ago
Data Migration Lead,IBM,8-13 Yrs,Not disclosed,Gurgaon/Gurugram,UnixSoftware designDatastageAgileInformaticaPentahoAnalyticsSQL,https://www.naukri.com/job-listings-data-engineer-ibm-india-pvt-limited-mumbai-2-to-4-years-201023904592,8 Days Ago
Job Title: R&D Engineer - Data Engineering and Ops (MLOps & DevOps),Coders Brain Pvt Ltd,3-8 Yrs,Not disclosed,Gurgaon/Gurugram,UnixSoftware designDatastageAgileInformaticaPentahoAnalyticsSQL,https://www.naukri.com/job-listings-big-data-professional-coders-brain-pvt-ltd-gurgaon-gurugram-3-to-8-years-180923500820,30+ Days Ago
Sr. Data Engineer,Arabyads,7-11 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana",CelonisData VisualizationPSQLETLSQLERP SystemProcess MiningMySQL,https://www.naukri.com/job-listings-senior-data-engineer-arabyads-gurgaon-gurugram-3-to-10-years-170523500476,30+ Days Ago
Sr. Data Engineer-Bengaluru-WFO,randstad offshore,2-7 Yrs,18-30 Lacs PA,"Hybrid - Bangalore/ Bengaluru, Karnataka",Data Cleansing and remediation and ReconsData ProfilingSQLData modellingData MappingPL-SQLExperience in Data Migration Activities LikeOracle,https://www.naukri.com/job-listings-senior-data-engineer-shift-5-30pm-2am-randstad-offshore-hyderabad-secunderabad-telangana-3-to-8-years-161023001953,12 Days Ago
Sr. Data Engineer,Infogain,2-4 Yrs,Not disclosed,Gurgaon/Gurugram,ETLDevopsPythonDockerAzure CloudAWSMicrosoft AzureEngineering,https://www.naukri.com/job-listings-data-migration-developer-infogain-bangalore-bengaluru-karnataka-6-to-10-years-111023009602,16 Days Ago
Senior Data Engineer,Maven Wave Partners,15-20 Yrs,Not disclosed,"Hybrid - Chennai, Tamil Nadu",TelecomSemiconductorDevelopment ManagerMySQLTelecommunicationHealthcareFirmwareAutomotive,https://www.naukri.com/job-listings-snowflake-data-engineer-sr-data-engineer-maven-wave-partners-india-pvt-ltd-gurgaon-gurugram-3-to-7-years-110723501517,30+ Days Ago
Data Engineer,Ford,5-9 Yrs,Not disclosed,"Hybrid - Gurgaon/ Gurugram, Haryana",Data ScienceADFArchitectureMS SQL ServerADWADLmachine learningdata scie,https://www.naukri.com/job-listings-gcp-data-engineer-ford-chennai-tamil-nadu-2-to-7-years-080623007699,2 Days Ago
Data Architect,Talent Advisors,5-9 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Project managementAnalyticalDebuggingData processingData qualityApplication developmentTroubleshootingAnalytics,https://www.naukri.com/job-listings-data-warehouse-engineer-talent-advisors-gurgaon-gurugram-haryana-3-to-8-years-061023006464,22 Days Ago
Tech Lead- Data Engineer,Infogain,5-9 Yrs,Not disclosed,Gurgaon/Gurugram,Project managementAnalyticalDebuggingData processingData qualityApplication developmentTroubleshootingAnalytics,https://www.naukri.com/job-listings-infogain-hiring-data-migration-developer-location-bangalore-infogain-bangalore-bengaluru-6-to-8-years-041023005796,24 Days Ago
Data Engineer,Data Channel,8-12 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Performance tuningsparkProject managementAnalyticalSCALAData processingApplication developmentData quality,https://www.naukri.com/job-listings-full-stack-developer-data-channel-gurgaon-gurugram-3-to-8-years-030123501730,30+ Days Ago
Azure Data Engineer / Architect,CGI,5-7 Yrs,Not disclosed,New Delhi,Azure Databricksazure data factorymsbiSQLPower BiSSRSAzure Data LakeDax,https://www.naukri.com/job-listings-azure-terraform-data-engineer-sql-development-cgi-bangalore-bengaluru-5-to-10-years-010923005517,9 Days Ago
Azure Data Architect,Dharra Advance Business Solutions,6-10 Yrs,10-13 Lacs PA,"Pune, Maharashtra, Chennai, Tamil Nadu, Mumbai (All Areas)",Digital mediaArchitectureSocial mediaAgileManager TechnologyData processingInvestment managementAnalytics,https://www.naukri.com/job-listings-data-entry-operator-dharra-advance-business-solutions-new-delhi-2-to-4-years-271023907419,1 Day Ago
"Data Engineer, Senior Consultant",Compunnel,10-20 Yrs,6.5-8.5 Lacs PA,Kinshasa,Azure Data FactoryPysparkData BricksSQLADFDataData EngineeringBricks,https://www.naukri.com/job-listings-data-modeler-compunnel-digital-compunnel-pune-maharashtra-chennai-tamil-nadu-mumbai-all-areas-4-to-8-years-270923006798,5 Days Ago
Azure Data engineer,Exponent Jobs,5-10 Yrs,Not disclosed,"Kochi/Cochin, Gurgaon/Gurugram",azureAzure Datawarehouse designDimensional ModellingETLdata engineeringSQLAzure Data FactoryModeling,https://www.naukri.com/job-listings-data-management-executive-location-kinshasa-dr-congo-exponent-jobs-kinshasa-5-to-10-years-261023007706,1 Day Ago
Data Modeller,Covansis It Services,5-8 Yrs,Not disclosed,"Kolkata, West Bengal",Data ArchitectureazureAzure Data FactoryData MartAzure Data WarehouseData VaultAzure DatabaseAzure Data Lake,https://www.naukri.com/job-listings-data-engineer-covansis-it-services-llp-kochi-cochin-gurgaon-gurugram-3-to-6-years-260923500508,30+ Days Ago
Enterprise Data Architect,Management and Computer Consultants (MCC),4-8 Yrs,Not disclosed,Pune,Change managementSAPCodingXMLDatastageJavascriptJSONInformatica,https://www.naukri.com/job-listings-data-entry-operator-management-and-computer-consultants-mcc-kolkata-west-bengal-1-to-5-years-251023003197,3 Days Ago
Data Engineer - Devops/MLOps,T-systems Ict India,4-8 Yrs,Not disclosed,"Mumbai, Chennai, Gurgaon/Gurugram",T-SQLCloudBack officePLSQLSSISOperationsData warehousingAnalytics,https://www.naukri.com/job-listings-data-engineer-t-systems-ict-india-pvt-ltd-pune-3-to-6-years-231023502165,4 Days Ago
Data Engineer,LexisNexis Risk Solutions,5-10 Yrs,Not disclosed,"Mumbai, Chennai, Gurgaon/Gurugram",RDBMSDimensional ModelingData ModelingPower BIData AnalysisTableauDataModeler,https://www.naukri.com/job-listings-senior-data-engineer-reed-business-information-mumbai-chennai-gurgaon-gurugram-2-to-5-years-210723501831,30+ Days Ago
Customer Success Consultant,LexisNexis Risk Solutions,2-5 Yrs,Not disclosed,"Noida, Uttar Pradesh, Hyderabad/Secunderabad, Mumbai (All Areas)",Client handlingData managementMachine learningData Architectdata governancepower biCosmosData warehousing,https://www.naukri.com/job-listings-senior-data-engineer-risk-solutions-mumbai-chennai-gurgaon-gurugram-8-to-13-years-210723501026,30+ Days Ago
Ux Ui Designer,Tech Mahindra,3-5 Yrs,7-9 Lacs PA,"Pune, Maharashtra, Chennai, Tamil Nadu",ETLDevopsData EngineeringAzure DevopsMicrosoft AzureEngineeringData,https://www.naukri.com/job-listings-data-engineer-sql-psql-etl-celonis-tech-mahindra-noida-uttar-pradesh-hyderabad-secunderabad-mumbai-all-areas-3-to-8-years-201023009379,7 Days Ago
Data Engineer,Tata Consultancy Services (TCS),2-5 Yrs,8-18 Lacs PA,"New Delhi, Delhi",Relationship managementPDFCustomer service orientationBusiness analyticsClient engagementCustomer supportProduct designManagement,https://www.naukri.com/job-listings-data-migration-lead-tata-consultancy-services-tcs-pune-maharashtra-chennai-tamil-nadu-7-to-11-years-201023007820,7 Days Ago
